"","question_id","poll_id","cycle","state","pollster_id","pollster","sponsor_ids","sponsors","display_name","pollster_rating_id","pollster_rating_name","fte_grade","sample_size","population","population_full","methodology","office_type","seat_number","seat_name","start_date","end_date","election_date","sponsor_candidate","internal","partisan","tracking","nationwide_batch","ranked_choice_reallocated","created_at","notes","url","stage","answer","candidate_name","candidate_party","pct","net","netRpos","netDpos","Primary_status"
"1",116815,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Sanders","Bernard Sanders","DEM",43.7,0,0,-3.2,"Winner (9 delegates, 25.7% of vote)"
"2",116815,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Trump","Donald Trump","REP",46.9,3.2,3.2,0,"...not a winner"
"3",116816,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Warren","Elizabeth Warren","DEM",40.5,-6.4,0,-6.3,"...not a winner"
"4",116816,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Trump","Donald Trump","REP",46.8,6.3,6.3,0,"...not a winner"
"5",116817,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Biden","Joseph R. Biden Jr.","DEM",43.5,-3.3,0,-2.4,"...not a winner"
"6",116817,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Trump","Donald Trump","REP",45.9,2.4,2.4,0,"...not a winner"
"7",116818,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Buttigieg","Pete Buttigieg","DEM",46.1,0.200000000000003,0,0.800000000000004,"...not a winner"
"8",116818,63513,2020,"New Hampshire",1528,"AtlasIntel",NA,NA,"AtlasIntel",546,"AtlasIntel",NA,1100,"rv","rv","Online","U.S. President",0,NA,2020-02-08,2020-02-10,NA,NA,FALSE,NA,NA,FALSE,FALSE,"2/10/20 22:24",NA,"https://projects.fivethirtyeight.com/polls/20200210_NH.pdf","general","Trump","Donald Trump","REP",45.3,-0.800000000000004,-0.800000000000004,0,"...not a winner"
"9",116697,63477,2020,"New Hampshire",294,"McLaughlin & Associates",112,"American Conservative Union","McLaughlin & Associates",203,"McLaughlin & Associates","C/D",400,"lv","lv","Live Phone","U.S. President",0,NA,2020-02-04,2020-02-05,NA,NA,FALSE,"REP",NA,FALSE,FALSE,"2/7/20 13:09","horserace source: https://twitter.com/JMcLaughlinSTK/status/1225720335942717440","https://www.insidesources.com/n-h-voters-oppose-medicare-for-all-by-2-to-1-margin/","general","Biden","Joseph R. Biden Jr.","DEM",45,-8,0,-4,"...not a winner"
"10",116697,63477,2020,"New Hampshire",294,"McLaughlin & Associates",112,"American Conservative Union","McLaughlin & Associates",203,"McLaughlin & Associates","C/D",400,"lv","lv","Live Phone","U.S. President",0,NA,2020-02-04,2020-02-05,NA,NA,FALSE,"REP",NA,FALSE,FALSE,"2/7/20 13:09","horserace source: https://twitter.com/JMcLaughlinSTK/status/1225720335942717440","https://www.insidesources.com/n-h-voters-oppose-medicare-for-all-by-2-to-1-margin/","general","Trump","Donald Trump","REP",49,4,4,0,"...not a winner"
